departure_delay,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x
-3,66,0,30.06,0.5,6
-7,72,0.06,28.8,6,11
-10,44,0,23.4,10,8
-9,46,0,28.89,10,15
1,45,0.07,29.72,10,10
-4,41,0,28.48,10,8
-12,46,0,28.89,10,15
-7,68,0,28.95,10,13
-1,75,0,29.57,8,9
-9,77,0,30.07,10,8
-7,39,0,29.1,10,9
-8,65,0,30.2,3,3
12,62,0.04,29.07,10,18
14,59,0.27,30.19,0.25,0
-4,77,0,30.02,10,7
0,73,0,29.23,8,11
-6,69,0,29.06,10,17
-2,66,0,30.03,7,3
-9,67,0,30.03,0.25,0
-1,75,0,29.99,7,10
83,78,0,29.8,10,17
-9,76,0,29.35,6,7
-10,29,0,26.92,10,0
-8,78,0,29.77,10,18
-4,67,0,29.01,10,11
-5,52,0,24.67,10,0
-1,36,0,25.75,10,6
-1,77,0,29.79,9,20
-9,71,0,29.97,9,3
-5,60,0,27.65,10,20
7,58,0,29.63,10,0
1,74,0,29,9,11
0,72,0,29.99,5,8
-1,39,0,29.1,10,9
-3,74,0,29,9,11
-6,76,0,29.35,6,7
-4,66,0,29.59,5,7
17,50,0.17,29.04,3,9
-7,74,0,29,9,11
-5,53,0,28.82,0.25,3
-6,72,0,30.02,10,6
-10,62,0.03,29.62,10,0
0,53,0,28.82,0.25,3
-8,63,0,30.13,0,0
-4,39,0,27.06,10,6
-4,60,0,30.29,0.25,0
11,76,0,29.82,10,11
-8,56,0,27.28,10,5
-8,67,0,30.1,4,3
-2,51,0,29.22,9,6
-6,50,0,30.43,10,3
-5,68,0,30.11,10,7
-7,72,0,30.02,10,6
0,47,0.13,29.18,4,18
-6,72,0,29.99,10,9
-5,68,0,29.78,10,5
-4,51,0,30.43,10,8
-4,57,0,29.66,10,3
4,65,0,29.45,10,0
6,67,0,29.12,10,5
-3,60,0,25.96,10,5
-9,76,0,29.35,6,7
-3,64,0,29.82,10,3
1,64,0.15,29.74,10,13
-2,76,0,29.35,6,7
-15,62,0,29.22,10,3
4,76,0,29.84,10,10
-2,44,0,29.5,10,16
-5,63,0.08,30.26,2,0
-5,39,0,29.13,4,9
-3,51,0,29.98,10,6
-1,53,0,28.8,0.25,3
-2,70,0,30.06,10,7
-2,73,0,30.14,10,6
-7,74,0,28.66,10,5
0,49,0,29.59,10,8
-6,56,0,28.85,7,3
-5,53,0,30.39,10,3
-6,70,0,29.05,10,17
-2,61,0,29.01,10,0
-9,44,0,29.34,10,9
80,47,0.15,29.05,2,18
-12,42,0,30.11,10,6
3,34,0.04,29.01,1,15
-15,43,0,29.87,9,0
-10,38,0,28.55,10,9
-10,78,0,30.02,10,7
-9,42,0,30.11,10,6
-5,53,0,30.41,10,7
6,59,0,29.18,10,7
-10,44,0,29.5,10,16
-13,42,0,30.16,10,3
-5,42,0,29.08,0.25,9
-4,57,0,28.52,0.25,7
-6,63,0,28.95,10,10
-1,46,0,28.89,10,15
-5,47,0,29.96,10,6
1,74,0,29.36,6,10
-1,49,0,24.68,10,5
120,58,0,29.65,10,3
-1,68,0,30.11,10,7
-6,53,0,29.67,9,3
-5,49,0,30.39,10,0
0,74,0,29.36,6,10
-1,68,0,29.11,10,13
0,64,0.03,30.27,10,0
0,60,0,27.68,10,15
-3,60,0,28.87,10,5
-4,45,0.33,29.07,2,16
-10,44,0,29.99,10,5
-5,49,0,29.23,10,7
0,36,0,24.44,10,7
-6,67,0,30.25,10,5
-7,60,0,30.27,10,11
14,47,0,29.96,10,6
-2,61,0.02,29.12,10,13
53,76,0.06,30.09,10,15
-4,31,0,27.1,10,0
-6,55,0,30.03,10,10
-5,51,0,30.42,10,7
-5,63,0,29.17,9,8
-6,61,0,28.01,10,3
9,47,0,29.32,9,7
42,64,0,29.82,10,3
-3,59,0,29.18,10,7
-3,63,0,29.23,10,0
-10,68,0,29.11,10,13
-4,44,0,29.5,10,16
63,37,0.01,23.81,0.12,6
-5,57,0,28.52,0.25,7
-3,57,0,28.52,0.25,7
-5,60,0,27.68,10,15
-10,48,0,29.5,10,3
-2,57,0,28.53,0.25,5
-16,38,0,29.66,10,0
0,64,0,30.19,5,0
-2,52,0,29.94,10,3
-3,64,0,29.82,10,3
-4,46,0,29.32,8,9
-3,40,0,27.52,10,10
-13,43,0,30.12,10,5
1,53,0,26.18,0.25,10
-2,66,0,28.69,10,3
-4,36,0,25.75,10,6
0,75,0,29.89,8,10
-10,69,0.04,29.68,9,11
-2,49,0,24.68,10,5
-8,59,0.02,29.25,7,5
-6,70,0,29.94,10,5
-7,31,0,26.41,10,8
7,71,0,29.5,10,9
9,74,0,29.36,6,10
-1,60,0,30.27,10,11
-2,42,0.05,28.96,1,8
-2,38,0,29.7,10,3
-8,52,0,29.94,10,3
-12,34,0,25.9,10,7
-6,61,0,28.01,10,3
25,76,0,29.84,10,10
-7,76,0,29.35,6,7
-4,58,0,30.18,9,11
-9,52,0,29.33,10,5
0,45,0,28.88,10,5
-2,39,0,29.13,4,9
-5,48,0,29.17,10,9
-9,41,0,27.75,1.25,9
-9,44,0,30.19,10,0
-2,31,0,27.1,10,0
-3,37,0.02,28.61,5,11
-2,63,0,29.32,9,3
106,44,0.02,24.25,10,7
-5,64,0,29.82,10,3
-2,44,0,28.95,8,7
-10,59,0,30.27,10,6
-2,46,0,28.89,10,15
-1,51,0,30.01,9,6
